Favourites,Retweets,Following,Followers,Reputation,Hashtag,Fake,class
25623,22,691,860,45,10418,0,0
1375,401,217,237,4,1912,0,1
6226,5,75,278,6,16403,0,0
1,0,1880,380,17,2370,1,1
6521,198,354,278,2,5490,1,1
2790,186,2472,2368,122,49046,1,1
1890,9951,538,555,9,77121,0,0
493,1,21726,23047,242,19426,0,0
249,48,2074,922,4,5372,1,0
60250,272,4019,3260,51,18617,1,1
106166,37,533,9555,221,106292,0,0
8507,0,1765,15487,385,7279,0,0
3208,945,898,176,11,3621,1,1
0,0,751,1283,62,46833,0,1
36,0,1570,971,62,98773,1,1
1874,96,761,716,2,3520,1,0
441,0,597,1624517,1275,503458,0,1
784,260,23,23,0,672,0,1
4048,0,1661,1305,12,10637,1,1
230,965,751,524,44,107648,1,1
21203,132,155,724,29,64901,0,0
50892,945,2637,2224,252,168092,1,1
4616,83,887,1056,3,25616,0,1
982,37,108,515,69,58251,0,1
6219,5170,1668,3094,8,47206,0,1
5315,41,669,355,13,3329,1,1
2889,269,613,1464,2,20024,0,1
2,753,275,136,0,1406,1,1
630,222,5000,2618,37,17016,1,0
1115,212,441,193,19,8440,1,1
3269,17,2004,1626,63,57018,1,1
900,4904,76,21,5,841,1,1
2226,36,1185,1134,27,9908,1,1
7471,1188,470,712,23,7154,0,0
10406,7108,914,1499,6,32283,0,1
350,945,1696,1427,147,8971,1,1
